policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
119736,FL,CLAY COUNTY,398960,398960,398960,398960,398960,792138.9,0,9979.2,0,0,30.102261,-81.711777,Residential,Masonry,1
338093,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1338163.57,0,0,0,0,30.063936,-81.707663,Residential,Masonry,3
206893,FL,CLAY COUNTY,190723.3,190723.3,190723.3,190723.3,190723.3,192376.78,0,0,0,0,30.089579,-81.700355,Residential,Wood,1
333733,FL,CLAY COUNTY,0,79520.76,0,0,79520.76,86853.38,0,0,0,0,30.063236,-81.707703,Residential,Wood,3
172533,FL,CLAY COUNTY,0,253281.5,0,253281.5,253281.5,236133.39,0,0,0,0,30.060613,-81.702675,Residential,Wood,1
785275,FL,CLAY COUNTY,0,515035.62,0,0,515035.62,883319.17,0,0,0,0,30.063236,-81.707703,Residential,Masonry,3
995932,FL,CLAY COUNTY,0,19260000,0,0,19260000,20610000,0,0,0,0,30.102226,-81.713882,Commercial,Reinforced Concrete,1
223388,FL,CLAY COUNTY,328500,328500,328500,328500,328500,338373.25,0,16325,0,0,30.102217,-81.707136,Residential,Wood,1
333512,FL,CLAY COUNTY,315000,315000,315000,315000,315000,265821.57,0,15750,0,0,30.118773,-81.703613,Residential,Wood,1
132071,FL,CLAY COUNTY,705600,705600,705600,705600,705600,1010832.56,13112,35280,0,0,30.100628,-81.703751,Residential,Masonry,1
253816,FL,CLAY COUNTY,831398.3,831398.3,831398.3,831398.3,831398.3,1117791.38,0,0,0,0,30.10216,-81.719333,Residential,Masonry,1
893922,FL,CLAY COUNTY,0,23059.09,0,0,23059.09,33952.19,0,0,0,0,30.095957,-81.695099,Residential,Wood,1
322833,FL,CLAY COUNTY,0,38115.93,0,0,38115.93,66755.39,0,0,0,0,30.100073,-81.739822,Residential,Wood,1
582721,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,32826.99,0,0,0,0,30.09238,-81.725167,Residential,Wood,1
832700,FL,CLAY COUNTY,0,56135.63,0,0,56135.63,50656.8,0,0,0,0,30.101356,-81.726238,Residential,Wood,1
873333,FL,CLAY COUNTY,0,38115.93,0,0,38115.93,67905.07,0,0,0,0,30.113733,-81.727363,Residential,Wood,1
580136,FL,CLAY COUNTY,0,38115.93,0,0,38115.93,66938.9,0,0,0,0,30.121655,-81.732391,Residential,Wood,3
356139,FL,CLAY COUNTY,0,80192.39,0,0,80192.39,86321.03,0,0,0,0,30.109537,-81.731661,Residential,Wood,1
767862,FL,CLAY COUNTY,0,38115.93,0,0,38115.93,73798.5,0,0,0,0,30.11823,-81.735335,Residential,Wood,3
353022,FL,CLAY COUNTY,0,60936.79,0,0,60936.79,62367.29,0,0,0,0,30.065799,-81.717316,Residential,Wood,1
367813,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,32727.73,0,0,0,0,30.082993,-81.710581,Residential,Wood,1
671392,FL,CLAY COUNTY,0,13310000,0,0,13310000,11700000,0,0,0,0,30.091921,-81.711929,Commercial,Reinforced Concrete,3
772887,FL,CLAY COUNTY,0,1669113.93,0,0,1669113.93,2099127.76,0,0,0,0,30.117352,-81.711883,Residential,Masonry,1
